,AnnualHouseholdIncome,BirthYear2020,CoronavirusConcern2,CoronavirusEmployment,CoronavirusIntent_Mask,CoronavirusIntent_SixFeet,CoronavirusIntent_StayHome,CoronavirusIntent_WashHands,CoronavirusLocalCommunity,CoronavirusSupportSystem,CoronavirusSymptomSelect,CoronavirusUnderstanding1,CoronavirusUnderstanding2,CoronavirusUnderstanding3,CoronavirusUnderstanding4,CoronavirusWhenShouldReopen,Education_Alt2,Ethnicity,Gender,HasCoronavirusBelief,PoliticalBeliefsNoOp,PoliticalPartyNoOp,Religion_Alt1,Religiosity_Alt2,TrumpApproveNoOp,ZipCode,startTime
13,98000.0,1996,8.3,['was-full'],90.0,93,90,92,3.0,"['employer', 'fam-friend']","['dry-cough', 'muscle-ache']",['corona-similar-flu'],"['ethnicity-spreads-covid', 'all-spread-covid']","['asymptomatic-spread', 'only-sick-spread']",thirty-percent,4-mo,postgrad,hispanic-latino,female,1.4,9.3,1.5,evangelical-protestant,8.4,2.0,321,2020-04-29 19:24:32.217
14,55000.0,1964,9.2,['was-full'],89.0,89,94,83,0.0,['fam-friend'],['none'],"['young-invulnerable', 'elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-30k,6-mo,highschool,white,female,0.4,4.6,8.5,catholic,6.0,4.1,755,2020-04-29 19:24:46.073
15,150000.0,1950,9.1,['now-full'],77.0,79,87,69,0.0,['fam-friend'],['none'],['corona-similar-flu'],['all-spread-covid'],['only-sick-spread'],one-in-30k,few-days,college,black,male,0.0,8.6,8.1,catholic,7.9,7.8,902,2020-04-29 19:24:53.307
16,50000.0,1967,1.1,['now-retired'],71.0,71,10,68,0.0,"['fam-friend', 'religious']",['none'],['corona-all-hospitalize'],['all-spread-covid'],"['asymptomatic-spread', 'only-sick-spread']",one-in-30k,immediate,college,white,male,0.8,8.7,8.5,evangelical-protestant,8.6,9.2,493,2020-04-29 19:24:53.987
17,24000.0,1982,8.6,['now-full'],90.0,6,90,16,1.0,['fam-friend'],['none'],['elderly-more-risk'],['all-spread-covid'],['only-sick-spread'],thirty-percent,3-wk,highschool,hispanic-latino,male,1.3,8.0,8.4,something-else,9.2,1.2,765,2020-04-29 19:25:00.051
18,90000.0,1997,5.6,['was-full'],57.0,73,60,73,2.0,"['fam-friend', 'fedgov']",['fatigue'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],one-in-30k,1-mo,college,white,female,4.7,5.8,5.9,catholic,6.5,5.3,920,2020-04-29 19:25:06.167
19,80000.0,1966,4.6,['was-full'],49.0,71,78,78,0.0,"['fedgov', 'state-gov', 'fam-friend', 'employer']",['none'],['corona-all-hospitalize'],['all-spread-covid'],['asymptomatic-spread'],three-in-ten,3-mo,some-college,white,male,0.0,4.9,5.0,nothing-in-particular,1.3,4.9,648,2020-04-29 19:25:25.109
20,15000.0,2000,10.0,['now-full'],100.0,100,100,100,5.0,['local-gov'],['none'],['corona-only-elderly'],['non-natives-spread-covid'],['only-sick-spread'],three-in-ten,few-days,some-college,hispanic-latino,female,0.0,8.0,5.1,jewish,8.5,0.0,105,2020-04-29 19:25:26.347
21,60000.0,1977,7.8,['now-full'],100.0,100,100,100,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize', 'corona-kills-most']",['all-spread-covid'],['asymptomatic-spread'],almost-all,6-mo,some-college,hispanic-latino,male,0.0,5.0,5.0,nothing-in-particular,6.5,0.0,111,2020-04-29 19:25:30.718
22,100000.0,1986,6.1,['was-full'],100.0,100,100,100,0.0,['fam-friend'],['fatigue'],"['corona-all-hospitalize', 'elderly-more-risk']",['all-spread-covid'],['asymptomatic-spread'],three-in-ten,2-wk,college,white,female,0.0,2.2,1.4,something-else,5.8,0.0,633,2020-04-29 19:25:36.695
23,5255.0,1960,8.6,"['was-disabled', 'now-retired']",93.0,100,7,8,0.0,['fam-friend'],['dry-cough'],"['elderly-more-risk', 'corona-kills-most']","['ethnicity-spreads-covid', 'all-spread-covid']","['infect-from-animal', 'only-sick-spread', 'asymptomatic-spread']",three-in-ten,3-wk,some-college,white,male,1.7,3.9,0.9,catholic,1.0,1.8,952,2020-04-29 19:25:44.058
24,167000.0,1959,8.5,['now-jobless'],90.0,86,83,90,5.0,"['fam-friend', 'religious']",['none'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],one-in-30k,1-mo,college,white,male,2.1,7.4,9.0,catholic,7.9,8.5,483,2020-04-29 19:25:53.063
25,28000.0,1986,8.9,['was-jobless'],82.0,86,69,52,0.0,['no-one'],['none'],['corona-all-hospitalize'],['ethnicity-spreads-covid'],['asymptomatic-spread'],three-percent,6-mo,highschool,asian,male,1.0,5.1,4.9,catholic,9.0,9.9,707,2020-04-29 19:25:55.893
26,120000.0,1980,5.0,['was-full'],100.0,100,100,21,0.0,['fam-friend'],['none'],['elderly-more-risk'],['non-natives-spread-covid'],['infect-from-animal'],three-in-ten,1-mo,college,white,male,0.1,3.0,4.7,nothing-in-particular,0.1,0.0,949,2020-04-29 19:25:59.355
27,50000.0,2000,7.8,"['now-part', 'was-jobless', 'was-part']",91.0,80,18,14,0.0,"['fam-friend', 'religious']",['dry-cough'],"['corona-similar-flu', 'young-invulnerable']",['non-natives-spread-covid'],['only-sick-spread'],one-in-30k,3-mo,some-college,white,male,2.1,8.6,2.0,catholic,7.7,9.6,321,2020-04-29 19:26:10.060
28,49000.0,1957,9.3,"['now-retired', 'was-retired']",100.0,100,100,100,4.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-1k,1-mo,postgrad,white,female,0.1,4.9,5.9,something-else,7.8,9.9,377,2020-04-29 19:26:30.187
29,58000.0,1986,8.2,['was-part'],100.0,46,82,78,0.0,['fam-friend'],['none'],['elderly-more-risk'],['all-spread-covid'],['only-sick-spread'],one-in-1k,4-mo,college,hispanic-latino,female,0.0,5.4,5.2,nothing-in-particular,4.8,0.0,330,2020-04-29 19:26:48.743
30,15000.0,1993,7.9,['now-jobless'],92.0,98,93,92,100.0,['no-one'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-percent,1-yr,highschool,white,male,1.9,4.2,4.7,nothing-in-particular,5.4,1.6,542,2020-04-29 19:26:51.561
31,45000.0,1973,3.8,['was-full'],6.0,51,68,44,0.0,"['fam-friend', 'employer']","['dry-cough', 'diarrhea', 'muscle-ache', 'nasal']","['elderly-more-risk', 'corona-similar-flu', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-1k,1-mo,college,white,female,0.5,7.4,6.4,something-else,3.1,7.5,619,2020-04-29 19:27:01.418
32,180000.0,1978,4.9,"['was-full', 'now-full']",100.0,95,97,95,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-1k,2-mo,college,black,female,4.8,6.1,5.1,catholic,5.0,7.2,774,2020-04-29 19:27:01.548
33,145000.0,1978,10.0,['was-full'],100.0,100,100,100,0.0,"['fam-friend', 'local-gov', 'state-gov']",['none'],['corona-all-hospitalize'],['all-spread-covid'],['asymptomatic-spread'],thirty-percent,6-mo,college,asian,male,1.9,5.2,1.0,atheist,2.0,2.6,917,2020-04-29 19:27:14.045
34,160000.0,1957,2.6,"['was-full', 'now-full']",48.0,100,95,96,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-1k,2-wk,postgrad,white,female,0.3,9.3,10.0,evangelical-protestant,10.0,9.9,778,2020-04-29 19:27:30.861
35,35000.0,1976,6.6,['was-full'],100.0,100,100,100,0.0,"['employer', 'fam-friend']",['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-in-ten,4-mo,postgrad,black,female,2.0,1.4,0.2,something-else,7.5,0.1,232,2020-04-29 19:27:39.044
36,100990.0,1996,6.5,"['now-jobless', 'was-part']",100.0,100,100,100,0.0,"['fam-friend', 'fedgov']",['none'],['corona-kills-most'],['all-spread-covid'],['asymptomatic-spread'],three-percent,2-mo,college,black,female,1.8,4.4,5.7,nothing-in-particular,8.3,2.6,100,2020-04-29 19:27:40.475
37,27000.0,1997,5.5,['was-full'],86.0,100,58,100,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['only-sick-spread'],three-percent,2-mo,highschool,white,female,0.0,1.8,1.2,atheist,0.4,0.6,731,2020-04-29 19:27:42.588
38,127000.0,1963,7.1,"['was-part', 'now-part']",100.0,100,98,99,0.0,"['fam-friend', 'religious']","['dry-cough', 'sore-throat']","['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],thirty-percent,3-mo,college,white,female,3.2,6.0,6.0,evangelical-protestant,6.7,6.9,327,2020-04-29 19:27:49.214
39,65000.0,1988,5.1,"['was-full', 'now-full']",52.0,63,67,60,9.0,"['fam-friend', 'employer', 'local-gov', 'state-gov']",['headache'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-in-ten,3-mo,college,white,male,1.0,5.8,4.3,evangelical-protestant,6.1,4.7,280,2020-04-29 19:27:53.245
40,60000.0,1988,9.7,['was-jobless'],100.0,100,100,100,0.0,"['state-gov', 'local-gov', 'fedgov']",['none'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],one-in-30k,2-wk,college,asian,female,0.0,6.5,3.9,other-protestant,5.5,6.9,906,2020-04-29 19:28:03.208
41,189000.0,1997,8.7,"['was-full', 'now-full']",100.0,69,100,100,5.0,"['fam-friend', 'state-gov']",['dry-cough'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],one-in-1k,3-wk,postgrad,black,female,0.0,2.1,4.8,catholic,5.4,0.0,112,2020-04-29 19:28:22.335
42,20000.0,1986,5.2,['now-full'],65.0,100,79,100,0.0,['fam-friend'],['none'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],one-in-1k,1-mo,some-college,other-mixed,female,0.0,5.1,4.8,something-else,3.1,7.2,851,2020-04-29 19:28:32.798
43,12000.0,1965,10.0,['now-disabled'],100.0,100,100,100,0.0,['state-gov'],"['dry-cough', 'headache']","['elderly-more-risk', 'corona-all-hospitalize', 'corona-kills-most']","['all-spread-covid', 'non-natives-spread-covid']","['asymptomatic-spread', 'only-sick-spread', 'infect-from-animal']",almost-all,yr-plus,highschool,white,female,2.3,10.0,0.0,catholic,5.4,2.2,546,2020-04-29 19:28:42.794
44,27000.0,1981,6.0,['was-full'],54.0,100,100,100,0.0,"['fam-friend', 'fedgov', 'state-gov']",['none'],"['corona-all-hospitalize', 'elderly-more-risk']",['all-spread-covid'],"['asymptomatic-spread', 'only-sick-spread']",almost-all,1-mo,some-college,white,male,0.2,5.4,0.5,other-protestant,9.4,8.0,280,2020-04-29 19:28:43.163
45,70000.0,2000,2.9,['now-jobless'],70.0,58,76,62,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-similar-flu', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],thirty-percent,2-wk,highschool,white,male,0.7,5.7,6.0,nothing-in-particular,5.4,7.1,142,2020-04-29 19:29:03.943
46,24000.0,1944,7.3,['was-part'],100.0,100,100,65,0.0,['no-one'],['nasal'],"['elderly-more-risk', 'corona-all-hospitalize']",['ethnicity-spreads-covid'],['asymptomatic-spread'],one-in-1k,yr-plus,some-college,white,female,0.0,2.5,2.0,nothing-in-particular,2.7,0.4,554,2020-04-29 19:29:04.625
47,205000.0,1984,7.7,['was-full'],97.0,92,94,97,2.0,"['fam-friend', 'employer', 'state-gov']",['none'],"['corona-all-hospitalize', 'elderly-more-risk']",['all-spread-covid'],['asymptomatic-spread'],three-in-ten,3-mo,postgrad,white,male,6.2,1.6,0.2,agnostic,2.8,0.6,908,2020-04-29 19:29:18.269
48,100000.0,1998,9.6,"['was-jobless', 'now-retired', 'now-part', 'was-disabled']",96.0,92,86,21,0.0,"['religious', 'state-gov', 'other', 'employer']","['headache', 'muscle-ache']","['corona-only-elderly', 'elderly-more-risk', 'young-invulnerable', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-percent,6-mo,college,white,female,0.8,0.8,8.6,mormon,9.0,2.1,600,2020-04-29 19:29:22.181
49,24000.0,1955,7.1,['now-disabled'],80.0,21,100,35,0.0,"['fam-friend', 'state-gov', 'fedgov']","['fatigue', 'headache']","['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-percent,3-wk,some-college,white,male,2.0,2.9,1.8,jewish,4.7,1.9,334,2020-04-29 19:29:41.518
50,90000.0,1999,3.3,['now-full'],27.0,59,34,43,0.0,['religious'],['diarrhea'],['elderly-more-risk'],['all-spread-covid'],['only-sick-spread'],one-in-30k,yr-plus,highschool,other-mixed,female,0.0,3.3,0.6,catholic,3.8,6.2,445,2020-04-29 19:29:56.181
51,160000.0,1991,2.9,"['was-full', 'now-full']",75.0,76,61,71,0.0,"['employer', 'fam-friend']",['none'],['none-true'],['all-spread-covid'],['asymptomatic-spread'],one-in-30k,2-wk,some-college,white,female,0.0,7.7,8.1,something-else,8.3,7.6,786,2020-04-29 19:30:18.360
52,89000.0,1984,6.9,['was-full'],100.0,100,100,91,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-percent,1-mo,college,white,female,2.3,8.1,8.1,catholic,6.0,7.1,405,2020-04-29 19:30:27.158
53,50000.0,1969,7.5,['was-full'],83.0,99,91,70,0.0,['fam-friend'],['none'],['none-true'],['all-spread-covid'],['infect-from-animal'],one-in-30k,4-mo,some-college,white,male,1.1,6.8,9.0,evangelical-protestant,4.8,7.2,121,2020-04-29 19:30:31.195
54,40000.0,2000,5.0,['now-jobless'],48.0,50,0,51,0.0,['fam-friend'],['none'],['elderly-more-risk'],['non-natives-spread-covid'],['asymptomatic-spread'],one-in-1k,1-mo,highschool,other-mixed,male,0.1,0.0,4.9,catholic,5.0,0.8,950,2020-04-29 19:30:42.599
55,54000.0,1993,6.6,['was-full'],100.0,100,100,100,0.0,['fam-friend'],['sore-throat'],"['elderly-more-risk', 'corona-all-hospitalize']",['ethnicity-spreads-covid'],['asymptomatic-spread'],one-in-1k,1-mo,college,white,female,4.3,6.0,6.3,catholic,1.6,2.7,194,2020-04-29 19:30:43.141
56,257478.0,1938,9.7,['now-full'],73.0,14,98,95,1.0,"['local-gov', 'religious']","['short-breath', 'nausea-vomit']",['corona-only-elderly'],['all-spread-covid'],['only-sick-spread'],three-percent,2-wk,some-college,white,male,2.4,8.7,9.7,mormon,9.8,10.0,284,2020-04-29 19:31:21.313
57,58000.0,1983,0.0,['was-full'],70.0,87,25,8,0.0,"['fedgov', 'state-gov', 'local-gov', 'fam-friend', 'other', 'local-community', 'private-org']",['none'],"['corona-similar-flu', 'elderly-more-risk']",['all-spread-covid'],['asymptomatic-spread'],three-percent,yr-plus,college,hispanic-latino,female,0.0,2.9,3.5,something-else,9.5,0.0,957,2020-04-29 19:31:23.454
58,35000.0,1988,6.0,['now-disabled'],79.0,100,59,54,0.0,['fam-friend'],['none'],['none-true'],['all-spread-covid'],['infect-from-animal'],almost-all,1-wk,some-college,white,female,0.5,4.0,5.8,nothing-in-particular,7.0,5.4,335,2020-04-29 19:31:36.877
59,100000.0,1984,9.3,['was-full'],99.0,100,96,98,5.0,"['fam-friend', 'employer', 'state-gov', 'local-gov', 'fedgov', 'religious', 'local-community']","['headache', 'fatigue']","['corona-all-hospitalize', 'elderly-more-risk']",['all-spread-covid'],['asymptomatic-spread'],three-percent,1-mo,college,white,male,6.2,2.7,3.1,other-protestant,10.0,0.1,432,2020-04-29 19:31:38.549
60,20000.0,1959,8.4,['was-disabled'],80.0,90,85,19,0.0,['fam-friend'],['short-breath'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],thirty-percent,2-mo,highschool,black,male,1.6,2.1,2.1,other-protestant,6.4,0.0,618,2020-04-29 19:31:56.631
61,10000.0,2000,5.8,['now-part'],100.0,100,100,100,0.0,['local-community'],['none'],"['corona-similar-flu', 'young-invulnerable', 'elderly-more-risk', 'corona-all-hospitalize']","['ethnicity-spreads-covid', 'all-spread-covid']",['asymptomatic-spread'],three-in-ten,1-mo,college,white,female,0.9,4.9,4.7,something-else,6.7,5.2,956,2020-04-29 19:32:18.510
62,50000.0,1970,8.6,"['was-full', 'now-full']",92.0,93,89,81,0.0,['fam-friend'],['none'],"['corona-all-hospitalize', 'elderly-more-risk']",['all-spread-covid'],['asymptomatic-spread'],three-percent,3-mo,college,white,female,1.1,0.8,0.5,catholic,6.3,0.6,328,2020-04-29 19:32:39.706
63,125000.0,1954,9.7,['was-full'],92.0,95,89,74,0.0,['fam-friend'],['none'],['elderly-more-risk'],['all-spread-covid'],['asymptomatic-spread'],three-in-ten,2-mo,postgrad,white,male,0.2,2.1,1.2,catholic,0.2,0.1,967,2020-04-29 19:32:50.155
64,31000.0,1987,8.6,['was-full'],88.0,89,90,87,0.0,['fam-friend'],"['nasal', 'fatigue']",['corona-all-hospitalize'],"['ethnicity-spreads-covid', 'all-spread-covid', 'non-natives-spread-covid']","['infect-from-animal', 'only-sick-spread']",three-percent,3-wk,highschool,white,female,2.7,8.0,8.8,catholic,8.4,8.7,833,2020-04-29 19:32:54.084
65,75000.0,1979,6.8,"['was-part', 'now-part']",93.0,89,96,68,0.0,['fam-friend'],['nasal'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-in-ten,6-mo,college,white,male,1.0,4.8,5.1,evangelical-protestant,7.9,0.8,320,2020-04-29 19:33:10.486
66,10000.0,1996,0.0,['now-disabled'],57.0,50,52,49,0.0,['no-one'],['none'],['none-true'],['all-spread-covid'],['only-sick-spread'],three-in-ten,few-days,some-college,white,male,1.2,4.3,5.8,nothing-in-particular,5.7,5.1,320,2020-04-29 19:33:10.717
67,24437.0,2000,6.9,['was-full'],56.0,58,54,67,0.0,"['other', 'fedgov', 'state-gov']",['nasal'],['corona-only-elderly'],['non-natives-spread-covid'],['only-sick-spread'],one-in-1k,1-wk,college,white,female,6.9,7.0,6.6,catholic,6.3,5.4,700,2020-04-29 19:33:19.083
68,20000.0,2000,10.0,['now-retired'],100.0,100,100,100,0.0,['fam-friend'],"['sore-throat', 'headache', 'fever', 'short-breath']",['corona-all-hospitalize'],['non-natives-spread-covid'],['only-sick-spread'],thirty-percent,yr-plus,some-college,black,female,0.0,4.9,5.2,nothing-in-particular,5.0,5.0,708,2020-04-29 19:33:25.774
69,12000.0,1992,5.4,['now-disabled'],45.0,46,43,49,0.0,['no-one'],['none'],['none-true'],['non-natives-spread-covid'],['infect-from-animal'],almost-all,3-wk,college,black,male,0.0,4.1,4.0,something-else,0.1,0.0,276,2020-04-29 19:33:27.062
70,197000.0,1998,7.2,['was-part'],31.0,83,80,75,8.0,['state-gov'],['fatigue'],['corona-only-elderly'],['non-natives-spread-covid'],['only-sick-spread'],thirty-percent,3-wk,college,other-mixed,male,8.2,7.5,6.0,nothing-in-particular,6.6,7.1,100,2020-04-29 19:33:35.270
71,30000.0,1979,8.5,['now-jobless'],100.0,100,100,100,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['ethnicity-spreads-covid'],['asymptomatic-spread'],one-in-1k,6-mo,highschool,asian,female,0.0,5.8,4.9,atheist,0.0,0.0,850,2020-04-29 19:33:39.061
72,75000.0,1992,2.3,"['was-full', 'now-full']",100.0,69,84,96,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-30k,few-days,college,white,female,0.1,7.5,10.0,nothing-in-particular,1.4,8.3,333,2020-04-29 19:33:39.780
73,65000.0,2001,7.3,['was-jobless'],100.0,79,100,69,4.0,['fam-friend'],['headache'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-percent,3-mo,school,white,female,0.6,7.8,8.0,nothing-in-particular,3.8,7.4,088,2020-04-29 19:33:40.163
74,30000.0,2001,0.0,['was-full'],0.0,39,0,31,0.0,"['fam-friend', 'religious']",['none'],"['corona-similar-flu', 'elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-in-ten,immediate,highschool,white,female,0.1,10.0,10.0,evangelical-protestant,10.0,10.0,971,2020-04-29 19:33:44.913
75,40000.0,1989,8.3,['was-full'],89.0,87,88,81,0.0,"['fam-friend', 'religious', 'no-one']",['none'],['none-true'],['all-spread-covid'],['asymptomatic-spread'],three-percent,3-wk,highschool,black,female,0.8,8.1,0.3,something-else,10.0,4.1,750,2020-04-29 19:33:48.891
76,5999.0,2001,6.8,['now-jobless'],98.0,100,95,71,0.0,['no-one'],['none'],['none-true'],['non-natives-spread-covid'],['infect-from-animal'],almost-all,2-mo,postgrad,black,male,7.6,7.7,0.0,catholic,7.1,7.3,334,2020-04-29 19:33:59.130
77,13000.0,1992,8.2,['was-disabled'],100.0,100,100,71,0.0,['fam-friend'],['none'],['corona-similar-flu'],['ethnicity-spreads-covid'],['asymptomatic-spread'],one-in-1k,3-mo,college,white,male,1.3,8.3,4.6,catholic,10.0,1.1,112,2020-04-29 19:34:05.260
78,40000.0,1989,5.1,"['was-full', 'now-jobless']",93.0,69,74,55,0.0,"['fam-friend', 'employer', 'state-gov', 'fedgov']",['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],one-in-30k,3-wk,college,white,male,4.8,2.6,1.7,nothing-in-particular,1.1,1.4,800,2020-04-29 19:34:06.217
79,55000.0,1971,4.4,['was-full'],12.0,47,46,48,0.0,"['local-gov', 'fedgov', 'fam-friend']",['none'],"['elderly-more-risk', 'corona-all-hospitalize']",['all-spread-covid'],['asymptomatic-spread'],three-percent,2-wk,college,asian,female,0.2,4.6,5.2,buddhist,6.2,4.8,347,2020-04-29 19:34:11.735
80,15000.0,1980,5.0,['was-full'],51.0,100,100,100,0.0,['fam-friend'],['none'],"['elderly-more-risk', 'corona-all-hospitalize', 'corona-kills-most']",['all-spread-covid'],['asymptomatic-spread'],almost-all,1-mo,school,white,male,0.5,5.0,7.2,nothing-in-particular,5.1,10.0,450,2020-04-29 19:34:19.824
81,39000.0,1998,8.0,['was-full'],100.0,100,100,100,10.0,"['fam-friend', 'religious']",['none'],"['corona-all-hospitalize', 'elderly-more-risk']",['all-spread-covid'],['asymptomatic-spread'],one-in-1k,2-wk,highschool,other-mixed,female,0.0,3.1,0.0,something-else,7.8,0.0,871,2020-04-29 19:34:22.155
